France,Germany,Portugal,Belgium,Italy,Canada,Luxembourg,United Kingdom,Singapore,Brazil,United States,China,Netherlands,Australia,Madagascar,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
65.041,1.626,0,9.756,1.626,0.813,1.626,9.756,0,0,0,0.813,2.439,1.626,0,1,0.041,0.197,2.976,0.958,123,30.081,21.138,21.951,26.829,56.098,43.902,33.333,48.78,12.195,5.691,0,0,0.26,9.896,28.385,1.042,12.76,21.875,0.26,4.167,8.854,1.823,0.26,0.26,2.865,2.344,0.781,0.26,0.26,2.083,0.26,1.302
66.667,0,0,0,0,0,0,33.333,0,0,0,0,0,0,0,2,0.0,0.0,2.667,0.745,6,33.333,16.667,16.667,33.333,83.333,16.667,33.333,50.0,16.667,0,0,0,2.941,8.824,14.706,2.941,5.882,14.706,2.941,5.882,2.941,2.941,2.941,2.941,5.882,2.941,2.941,2.941,2.941,2.941,2.941,5.882
66.667,6.667,0,0,0,0,0,13.333,0,0,6.667,0,6.667,0,0,3,1.2,0.4,3.2,0.98,15,26.667,26.667,20.0,26.667,60.0,40.0,46.667,26.667,20.0,6.667,0,0,1.515,4.545,21.212,4.545,9.091,15.152,1.515,4.545,12.121,4.545,1.515,1.515,3.03,4.545,1.515,1.515,1.515,1.515,1.515,3.03
53.846,0,7.692,15.385,0,0,0,7.692,3.846,0,0,0,7.692,0,3.846,4,3.962,1.698,3.538,1.737,26,42.308,11.538,19.231,26.923,65.385,34.615,38.462,38.462,19.231,0,3.846,0,0.962,7.692,19.231,0.962,11.538,12.5,0.962,1.923,11.538,4.808,0.962,0.962,3.846,6.731,1.923,0.962,0.962,8.654,0.962,1.923
83.333,0,0,0,0,0,0,0,0,16.667,0,0,0,0,0,5,0.0,0.0,3.0,0.577,6,33.333,16.667,16.667,33.333,33.333,66.667,66.667,0,16.667,16.667,0,0,2.857,5.714,8.571,2.857,8.571,11.429,2.857,2.857,5.714,5.714,2.857,2.857,5.714,5.714,5.714,2.857,2.857,8.571,2.857,2.857
66.667,0,0,0,0,0,0,16.667,0,0,16.667,0,0,0,0,6,0.0,0.0,2.5,0.5,6,33.333,16.667,16.667,33.333,83.333,16.667,33.333,66.667,0,0,0,0,3.125,9.375,12.5,3.125,6.25,6.25,3.125,6.25,12.5,6.25,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125
33.333,0,0,33.333,0,0,0,33.333,0,0,0,0,0,0,0,7,0.0,0.0,3.667,1.106,6,33.333,16.667,16.667,33.333,66.667,33.333,16.667,83.333,0,0,0,0,2.564,7.692,10.256,2.564,7.692,10.256,2.564,2.564,10.256,5.128,2.564,2.564,7.692,7.692,5.128,2.564,2.564,2.564,2.564,2.564
66.667,0,0,16.667,0,0,16.667,0,0,0,0,0,0,0,0,8,0.0,0.0,3.333,0.943,6,33.333,16.667,16.667,33.333,66.667,33.333,66.667,16.667,16.667,0,0,0,2.703,5.405,13.514,2.703,5.405,10.811,2.703,5.405,13.514,5.405,2.703,2.703,5.405,2.703,2.703,2.703,2.703,2.703,2.703,5.405
66.667,0,0,0,0,0,16.667,16.667,0,0,0,0,0,0,0,9,0.0,0.0,3.5,0.957,6,33.333,16.667,16.667,33.333,33.333,66.667,16.667,83.333,0,0,0,0,2.564,5.128,17.949,2.564,7.692,15.385,2.564,5.128,5.128,5.128,2.564,2.564,5.128,2.564,2.564,2.564,2.564,2.564,2.564,5.128
63.5,1.5,1.0,9.5,1.0,0.5,2.0,11.0,0.5,0.5,1.0,0.5,3.0,1.0,0.5,Mean,0.63,0.372,3.09,1.033,81.23,32.0,19.5,20.5,28.0,58.5,41.5,36.0,46.0,13.0,4.5,0.5,0.0,0.901,8.691,23.873,1.609,11.274,18.28,0.901,3.996,9.356,3.004,0.901,0.901,3.478,3.4,1.509,0.901,0.901,3.194,0.901,2.027
