Germany,Brazil,Canada,Australia,Uruguay,Portugal,Mexico,India,United States,Japan,United Kingdom,Switzerland,Ireland,Belgium,Italy,Russia,Spain,Argentina,Netherlands,France,Chile,Cluster,Duration_Mean,Duration_Standard_Deviation,Comments_Mean,Comments_Standard_Deviation,Taille,Summer,Autumn,Winter,Spring,man,woman,35-49,50-64,25-34,18-24,13-17,4-2a,Monument,Park/garden,Urbanism,Art gallerie/museum,Holy site/place of worship,Historic building,Theater/auditorium,Shop,Restaurant/bar,Gastronomy,Hotel,Wood,Watering place,Beach,Mountain,Music building,Cinema,Amusement park/aquarium,Sport,Viewpoint
1.709,0,0,0,0,0,0,0,4.74,0,28.594,1.399,1.943,5.517,5.439,0,8.236,0,2.409,28.05,0,1,0.653,1.714,3.332,1.81,1287,25.33,20.824,26.185,27.661,47.086,52.914,48.796,16.006,28.438,6.605,0.155,0,0.836,0.767,1.951,2.067,1.812,4.135,0.116,4.785,17.631,0.046,16.934,0.023,0.232,0.023,0.023,0.023,0.023,48.037,0.023,0.511
0,10.279,3.382,3.714,0,0,0,0,11.936,0,9.814,0,0,3.117,6.83,0,2.321,2.454,0,24.204,0,2,0.849,1.922,3.261,1.396,1508,25.133,22.149,24.469,28.249,49.735,50.265,35.477,35.942,23.475,4.907,0.199,0,2.31,14.384,27.715,15.944,3.707,16.329,0.061,0.02,9.198,5.227,1.742,0.02,0.02,0.02,0.02,0.02,0.02,2.978,0.041,0.223
0,14.156,3.842,4.449,0,0,0,1.719,15.774,0,12.437,0,0,0,9.707,0,3.842,4.954,0,6.168,0,3,0.325,1.123,4.46,1.322,989,26.491,23.862,22.851,26.795,45.804,54.196,39.029,28.817,25.986,5.865,0.303,0,0.226,0.542,6.709,12.22,32.234,45.855,0.023,0.023,0.158,0.023,0.181,0.023,0.023,0.023,0.023,0.203,0.023,0.384,0.904,0.203
0,20.113,2.712,3.277,0,0,0,2.712,8.249,0,6.441,0,0,0,8.362,0,5.537,9.492,0,4.746,0,4,1.144,2.458,8.511,3.277,885,27.458,18.983,22.938,30.621,51.186,48.814,37.966,30.395,25.537,5.763,0.339,0,15.068,4.983,27.18,8.508,6.321,14.577,0.027,0.027,0.583,0.292,0.543,0.013,11.49,0.013,0.013,0.04,0.013,1.153,0.066,9.091
0,5.429,5.714,6.0,0,0,0,6.0,19.429,0,12.0,0,0,0,3.714,0,2.286,3.714,0,13.429,0,5,1.06,2.355,5.32,2.178,350,31.429,19.429,18.857,30.286,52.857,47.143,35.143,44.857,17.143,2.857,0,0,0.319,5.269,32.783,8.994,10.484,19.425,0.053,0.053,0.479,0.213,1.171,0.053,18.627,0.053,0.053,0.053,0.053,1.224,0.16,0.479
0,8.378,4.459,4.73,0,0,0,2.027,18.784,0,8.108,0,0,0,5.541,0,4.324,5.27,0,14.054,0,6,1.342,2.452,7.472,3.518,740,28.243,23.108,21.486,27.162,45.946,54.054,37.838,33.514,21.351,7.027,0.27,0,8.12,5.955,13.389,9.347,12.847,30.927,9.419,0.036,1.859,1.407,0.848,0.018,0.144,0.018,0.018,0.65,0.018,0.632,0.054,4.294
0,20.641,0,3.203,3.203,0,0,0,8.897,3.915,6.762,0,0,0,6.762,0,5.694,9.964,0,4.27,0,7,1.797,2.8,12.445,5.203,281,24.911,20.996,20.285,33.808,46.975,53.025,39.146,28.47,27.046,5.338,0,0,10.057,6.286,26.057,7.686,6.343,18.257,5.057,0.057,0.886,0.543,0.457,0.029,7.857,0.029,0.029,3.429,0.029,0.829,0.029,6.057
0,27.667,0,0,0,2.854,2.109,0,0,2.357,0,0,0,0,11.663,2.854,6.452,7.816,0,12.779,2.109,8,1.032,2.211,6.2,2.42,806,25.31,21.216,24.69,28.784,55.459,44.541,38.586,19.975,34.739,6.452,0.248,0,30.299,4.531,13.852,11.297,3.094,13.772,0.06,0.02,2.236,1.836,0.659,0.02,0.1,0.02,0.02,0.02,0.02,1.038,0.02,17.086
0,13.701,2.989,3.08,0,0,0,0,11.218,0,8.184,0,0,0,10.759,2.207,5.011,5.839,0,11.862,0,9,0.806,1.872,4.75,1.906,2175,24.966,20.276,25.471,29.287,52.552,47.448,39.632,26.759,26.851,6.575,0.184,0,19.353,5.188,13.729,13.324,8.734,21.797,0.01,0.01,0.541,0.048,0.86,0.01,0.01,0.01,0.01,0.01,0.01,1.237,0.039,15.072
2.614,11.765,0,10.784,0,0,0,0,8.17,0,14.706,1.961,0,0,12.092,0,5.229,3.268,0,6.536,0,10,1.16,2.299,5.722,3.304,306,28.105,14.052,23.203,34.641,51.634,48.366,39.542,22.876,32.68,4.902,0,0,12.387,3.111,14.706,9.502,9.785,19.287,0.283,0.226,1.471,1.075,0.735,0.057,0.113,0.057,0.057,17.308,0.057,1.753,0.057,7.975
0.322,12.534,2.477,3.152,0.096,0.247,0.182,0.826,10.411,0.322,11.151,0.257,0.268,1.265,8.374,0.761,4.943,4.825,0.332,14.721,0.182,Mean,0.886,1.97,5.266,2.206,1277.446,26.075,21.004,24.027,28.894,50.038,49.962,39.584,27.876,26.386,5.951,0.204,0.0,10.439,5.525,15.999,10.672,9.096,20.095,0.949,0.687,4.552,1.223,3.096,0.02,2.09,0.02,0.02,0.76,0.02,7.817,0.136,6.785
